Pre_Range,Count,Average_Gaussian,Average_Median,Average_Wavelet,Average_Weiner,Average_Mirnet,Average_Nafnet,Median_Gaussian,Median_Median,Median_Wavelet,Median_Weiner,Median_Mirnet,Median_Nafnet
"[1, 6)",11,599.541610709091,1493.3381259545456,73.38279274463638,128.71618415172728,772.6500707463637,738.7095840181818,364.3238015,876.678122,49.15770994,106.6428417,362.3869309,337.9178054
"[6, 11)",27,178.4584513414815,423.11849604814813,23.989018485181482,151.12604319025925,274.4806625874074,234.56884189185186,160.6949297,409.5771039,28.8284963,122.075455,237.5304096,251.5604211
"[11, 16)",41,96.34323837141464,225.49549298195123,7.980861010560976,2.220401202534146,143.4421891802439,126.1314131915122,92.71698652,214.7244114,6.619665165,-0.1162962942,120.7256379,123.8985996
"[16, 21)",65,56.01845392035385,156.77998024738463,3.474002787306154,-9.54391064973077,74.6686611349077,70.14028637024616,57.54676619,152.9828236,4.457760079,-5.463740871,56.18435432,61.713449
"[21, 26)",37,27.334282738108108,102.92369134,-3.4693381110567567,-10.055928430081082,34.01544447582162,41.63020007564865,31.87507843,105.1367748,-2.881244655,-21.24171821,21.70551583,32.45568442
"[26, 31)",22,-1.288829127727273,55.92342733181818,-16.77518763378273,-13.751595035054548,23.668728241136364,11.13816386090909,-2.0319504155,59.79161846,-16.214613185,-23.4753139,15.31499541,25.700403530000003
"[31, 36)",10,-29.080534706999998,23.854816358300003,-30.9307557238,-37.996086203,0.5808761980000007,-21.7253749411,-31.022085075,24.499490795,-34.84995115,-37.659203985000005,-28.094447334999998,-44.98222003
"[36, 41)",20,-25.2458800715,19.392482153449997,-27.54691157235,-29.963645974600002,0.6597995734999997,-14.985690803599999,-34.243240105,21.024362625000002,-30.903608105,-21.69904245,4.9280164555,-12.88610843
"[41, 46)",14,-41.95065782835714,1.5672914317,-31.36557087142857,-33.97146072188643,-23.037132636064285,-28.123231330928572,-48.33224898,0.6442263704,-33.20931189,-28.64564258,-28.81011225,-35.564784325
"[46, 51)",14,-60.89862555,-11.859191086071428,-35.065802305214284,-43.87895820128572,-17.426521333357144,-27.44673848835714,-60.19433342,-12.861285339999998,-35.96120694,-35.694262515,-20.98003629,-37.659736955
"[51, 56)",14,-58.540949625,-19.521837951357146,-36.393544702142854,-49.152978375500005,-34.42142507814286,19.688855860928573,-62.195616895,-21.936240075,-36.729912345,-48.628114425,-27.7082117,-15.872957305
"[56, 61)",18,-63.87512990944444,-29.001481225000003,-35.42085787944445,-38.145165955833335,-33.47748546722222,33.65276874944445,-66.02810693500001,-25.99237468,-35.98328032,-34.348634005,-34.227141689999996,-24.307269615
"[61, 66)",4,-72.0329008775,-39.425063075,-27.73187427325,-30.41966121,-27.82507368,18.004201315,-71.62531595499999,-40.416810225,-27.25623598,-27.87794872,-26.694887174999998,-20.604817410000003
