Pre_Range,Count,Average_Gaussian,Average_Median,Average_Wavelet,Average_Weiner,Average_Mirnet,Average_Nafnet,Median_Gaussian,Median_Median,Median_Wavelet,Median_Weiner,Median_Mirnet,Median_Nafnet
"[1, 6)",3,463.84430000000003,752.4193,500.6072,22.965829626666665,1445.3492673333333,1570.234875,470.5204,808.5018,500.0,29.66520662,1476.122615,1437.438142
"[6, 11)",10,302.95834,437.09227,288.679391,154.497237604,722.9674827800001,724.6595841999999,302.8618,412.7741,296.47515,138.818968025,738.5808638000001,736.31599205
"[11, 16)",7,107.02037857142857,176.66356857142858,94.36981142857144,78.63835549057144,293.1007284714286,280.97137192714285,107.0853,154.9707,115.3714,11.47957029,309.2480903,342.4523586
"[16, 21)",18,54.02747955555556,95.37001111111111,70.84909227777777,28.256667722166664,198.23357748611113,194.9134793311111,52.82491,83.65391500000001,89.761835,2.808556296,216.59685174999998,212.75815885
"[21, 26)",19,29.85266421052632,58.25830578947368,38.40639584210527,4.561743347263158,127.38403614842106,126.37013519336841,40.32333,46.92395,17.00875,-2.751548364,145.0172248,152.4446005
"[26, 31)",14,-0.7007050000000002,23.559928214285716,11.066562642857141,-19.470114501421428,86.28993700357144,80.89846666078572,14.798259999999999,21.890864999999998,1.8555155,-13.31336792,98.29405263,95.400649095
"[31, 36)",8,-20.32983,-6.653079750000001,-16.412300000000002,-15.065214460375,35.153803335,26.1940072025,-18.46407,-4.037173999999999,-23.79665,-0.36714742849999993,35.014829995,24.866870210000002
"[36, 41)",11,-48.156333636363634,-18.455146363636363,-5.704504545454546,-31.020306409090907,58.03381839181818,57.64070610818181,-58.9875,-27.988,-16.857,-38.60966289,54.1697746,49.59972114
"[41, 46)",22,-73.02860454545454,-49.267872727272724,-33.040718181818185,-47.17062596545454,20.99376452340909,6.588984868454546,-74.313,-46.9631,-32.70245,-45.077955904999996,32.04016784,-4.937685899
"[46, 51)",27,-69.85846666666667,-50.94415185185185,-27.323584814814815,-39.24574110500001,16.84722213448148,28.12286768885185,-69.294,-49.5315,-32.2163,-38.35328319,21.37284444,35.29840574
"[51, 56)",32,-66.842284,-54.47417253125,-26.501622125,-33.919247551196875,9.284029685468749,38.30879733321875,-69.35820000000001,-57.535,-30.014,-26.943244364999998,13.220915130000002,10.72764845
"[56, 61)",28,-57.08095985714285,-52.45606107142857,-20.714298000000003,-26.43626235034643,10.788454723675,86.55572205632143,-70.2738,-62.842349999999996,-18.25065,-17.003272705,13.04693421,157.7701721
"[61, 66)",6,-4.645452666666667,-12.230216666666665,-3.2823006666666665,-7.219151888350001,6.000827889833334,30.986512475166663,8.9264245,-1.027845,2.061458,0.9844417398499999,4.5959360735,6.7385141265
"[66, 71)",8,5.1651623749999995,-1.022929375,1.2214685,1.9283285570750002,1.497669534725,1.0523522946875001,4.5558375,-1.123415,1.14618,0.9637930629,1.44217986,1.1663518835
"[71, 76)",8,8.014284374999999,-1.13190375,2.285914625,2.2715119787625,1.413566459575,1.25956414145,8.7480405,-0.7667999999999999,2.6022605,0.59962892765,1.3123443565,1.3502743995
"[76, 81)",12,7.7712995000000005,-1.1501308333333333,2.4325248333333334,1.4070439546291666,1.241087364,0.5293021635696666,7.554931999999999,-1.41419,2.163147,0.3944506109,1.1473253264999999,0.49354654845
"[81, 86)",2,13.061535,-0.52905,4.5746465,4.81074576639,1.610574263,-0.2831740679999999,13.061535,-0.52905,4.5746465,4.81074576639,1.610574263,-0.2831740679999999
