Pre_Range,Count,Average_Gaussian,Average_Median,Average_Wavelet,Average_Weiner,Average_Mirnet,Average_Nafnet,Median_Gaussian,Median_Median,Median_Wavelet,Median_Weiner,Median_Mirnet,Median_Nafnet
"[1, 6)",18,328.66231543333333,1067.716944761111,32.76087738926111,27.435688547444446,526.1441819383333,394.4095580422222,296.30832175,1019.5312114999999,17.80240034,-9.1241727845,227.98730515,285.1666619
"[6, 11)",53,187.29018770281132,465.1909583283019,24.20038359737736,12.830164330633961,287.9589266269264,244.78140411145282,207.5252418,432.8460514,31.04128204,3.908769347,241.2160384,232.7881631
"[11, 16)",86,115.94025812695348,265.55972346279066,15.128669772756975,9.355827031981395,162.04867467339884,126.7493721429186,136.0792904,264.2844,23.7466972,1.811060303,168.1632401,140.25334685
"[16, 21)",73,47.39577517174795,156.0111064120548,-1.7196100621630135,6.019828382775891,87.45161583463015,48.640590022497264,41.63101746,151.1497867,3.53345939,-2.272787418,78.23142882,43.87826896
"[21, 26)",63,-3.7774997616492065,92.16912538619049,-19.18130738761746,-13.766923995344444,47.680742089892064,21.807332791701747,1.523295971,87.91219925,-18.89035316,-11.36970317,37.25362331,2.510159859
"[26, 31)",65,-13.632804553323076,60.490225906553846,-21.236265724723076,-16.907706905015385,26.39496629437323,-3.785823639278462,-13.47563586,55.92137152,-22.40003584,-11.03327346,24.83579011,-8.940137596
"[31, 36)",56,-32.04057208535714,37.580532827821436,-26.72370306881607,-21.519674382072857,11.585628916803572,-6.821445975512499,-33.379016969999995,33.277006085,-30.70042447,-16.674295684999997,9.800729018,-23.239405935
"[36, 41)",55,-38.07190220825455,21.190010788727275,-28.49460494281818,-20.678009131342183,-0.5043881543005456,6.2071260471090905,-40.45887819,19.32482406,-34.91536052,-12.40555388,-2.788461066,-13.15903532
"[41, 46)",56,-45.917616771553575,11.78980925191875,-28.839259124017854,-19.92487963642929,-14.9807200998375,21.75626978542857,-48.59054072,5.366336972999999,-31.20820614,-12.892073925,-16.119546135,-20.482163525
"[46, 51)",56,-52.38250808875,0.7517347827851785,-29.998972672053572,-25.24451160882857,-15.886748063314286,19.405610702803568,-54.701186285000006,-8.325659249000001,-31.447696909999998,-19.211961815000002,-17.96463898,-30.378137745
"[51, 56)",42,-56.469680553571436,-9.820480271880953,-28.2225593425,-20.352054255498572,-28.791992888380953,-15.0886101975,-55.98267131,-16.10703919,-32.23563594,-16.321869865,-31.580609504999998,-35.749247249999996
"[56, 61)",46,-63.31565817891305,-23.35579977673913,-26.299740961121735,-21.09813737954,-33.831422670391305,43.186305051521735,-62.88377792,-27.686475684999998,-33.56005011,-13.542273795,-40.484985554999994,24.06816949
"[61, 66)",37,-66.39072904162163,-28.49798851378379,-24.514964249513515,-20.428851372878377,-34.98287534764865,28.00291695864865,-69.89127277,-34.69791664,-29.56947151,-15.20639282,-35.28731457,-29.84367772
"[66, 71)",27,-64.82673698592592,-25.539982469999998,-37.251940401633334,-18.397820705974073,-39.41403317629629,52.73626730525926,-70.28461624,-32.87812912,-39.37545835,-9.051249295,-40.0227071,55.61229166
"[71, 76)",35,-64.82349250274285,-38.025405170571425,-23.0594160034,-25.202508075199713,-37.90875882174286,56.27715131542857,-69.9187659,-44.45634026,-26.8031761,-19.78465037,-37.10591337,107.5025255
"[76, 81)",25,-65.6230330444,-38.73711136904,-28.39641905352,-18.955940768398,-43.0192407652,54.3447752556,-69.89215684,-50.3699169,-25.69060835,-18.56951846,-41.17078207,95.7337343
"[81, 86)",18,-65.99015577444445,-33.74448343238888,-23.159880558055555,-21.19625557284389,-54.32028291611111,19.018587106111113,-62.528093465,-51.661075215,-7.7714098080000005,-13.81104539,-52.06823287,40.1788089
"[86, 91)",6,-57.13603693666667,-29.405431957983335,-20.40144873066667,-8.262769046025001,-42.23828864833333,-28.69887195166667,-56.352595155,-27.3289056365,-19.0648967395,-6.2676608925,-36.878562415000005,-44.098419335
"[91, 96)",7,-66.75839296285714,-32.82781844657143,-23.62027331585714,-15.979067989285713,-59.81539830714286,-30.32941605142857,-62.14326966,-48.4887117,-11.49126699,-6.707685681,-59.13222392,-52.31761002
"[96, 101)",5,-56.643549410000006,-2.7818371436,-42.596674432,-22.143897588999998,-50.533011606,-43.341106072,-59.45800065,-5.819017836,-41.32630221,-22.91105987,-55.24039378,-50.1800495
"[101, 106)",9,-64.76306491444444,-16.331363466398443,-47.13343334555556,-11.03982134121111,-54.557896226666664,-38.94039348,-63.07997615,-2.101963316,-51.76691376,-8.244575685,-47.65192406,-49.11487954
"[106, 111)",3,-51.90670514999999,-36.19630656466666,-17.29150239666667,-13.385487480999998,-45.65438063,-58.07183679333334,-57.30558042,-50.42297909,1.561971742,-16.26817208,-47.96754561,-56.57688216
"[111, 116)",6,-62.33992391333334,-12.923683843,-45.116461587833335,-15.32810873829,-65.19604676833333,-40.7253732385,-62.90659096,-12.747394785000001,-57.75613289,-12.918255685,-63.356553605,-55.893787509999996
"[116, 121)",3,-56.79364191,-12.849163276,-27.575438846666668,-18.592641415166668,-68.53038104666666,-19.751956434666667,-56.59928025,-15.45413652,-17.27947469,-1.842622736,-68.12283703,-8.058211162
"[121, 126)",2,-65.14090052,-15.56542134,-55.04232313999999,-36.6096636,-57.998026435,-57.83969304,-65.14090052,-15.56542134,-55.04232313999999,-36.6096636,-57.998026435,-57.83969304
"[126, 131)",3,-69.23882145333333,-15.032325176666665,-64.35171576,-21.07120893,-56.08743938666667,-59.920677350000005,-71.93470608,-14.23721241,-62.7835473,-27.56390802,-52.87652528,-55.86063407
"[131, 136)",4,-68.78166317750001,-18.6128054325,-57.7716994,-25.845348735,-56.42431746250001,-60.53509378,-69.419521935,-18.634839855,-58.41089551,-22.380407285,-57.132636815,-60.186989264999994
"[136, 141)",3,-58.02543852333333,9.065654092,-63.81438746,-2.8435590876666663,-81.15764585666666,-35.68271001666667,-58.15034713,7.09831086,-70.53649502,-2.430974974,-78.73006914,-35.85404008
"[141, 146)",0,,,,,,,,,,,,
"[146, 151)",1,-59.22367214,19.93794527,-48.32865563,-4.526444748,-74.71469595,-38.34420658,-59.22367214,19.93794527,-48.32865563,-4.526444748,-74.71469595,-38.34420658
"[151, 156)",0,,,,,,,,,,,,
"[156, 161)",2,-67.54370654499999,-5.001309255000001,-53.803844845,-5.940219104,-73.76673798499999,-50.362674235,-67.54370654499999,-5.001309255000001,-53.803844845,-5.940219104,-73.76673798499999,-50.362674235
